Package,Built
anytime,3.4.0
APIflog,3.4.1
assertthat,3.4.0
babynames,3.4.0
backports,3.4.3
base,3.4.3
base64enc,3.4.0
betareg,3.4.0
BH,3.4.1
billboard,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
bookdown,3.4.3
boot,3.4.3
brew,3.4.0
broom,3.4.2
callr,3.4.3
car,3.4.3
caret,3.4.3
caTools,3.4.0
cellranger,3.4.0
class,3.4.3
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.3
codetools,3.4.3
coinmarketcapr,3.4.2
colorspace,3.4.0
commonmark,3.4.1
compiler,3.4.3
countrycode,3.4.0
cowplot,3.4.3
cranlogs,3.4.0
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.3
CVST,3.4.0
data.table,3.4.2
datasets,3.4.3
DBI,3.4.0
dbplyr,3.4.2
ddalpha,3.4.2
debugme,3.4.2
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.2
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
directlabels,3.4.0
dplyr,3.4.2
dplyrExtras,3.4.2
DRR,3.4.3
DT,3.4.3
dtplyr,3.4.0
dummies,3.4.0
enc,3.4.2
evaluate,3.4.1
flexmix,3.4.0
FNN,3.4.0
forcats,3.4.0
foreach,3.4.3
forecast,3.4.2
foreign,3.4.3
Formula,3.4.1
fracdiff,3.4.0
geosphere,3.4.2
ggjoy,3.4.1
ggmap,3.4.0
ggplot2,3.4.0
ggrepel,3.4.2
ggridges,3.4.1
ggsci,3.4.2
gh,3.4.1
git2r,3.4.3
glue,3.4.2
googleVis,3.4.0
GoTr,3.4.1
gower,3.4.0
graphics,3.4.3
grDevices,3.4.3
grid,3.4.3
gridExtra,3.4.1
gtable,3.4.0
gtrendsR,3.4.1
harrypotter,3.4.1
haven,3.4.3
here,3.4.0
hexbin,3.4.3
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.3
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.3
hwriter,3.4.0
ini,3.4.2
ipred,3.4.0
ISOcodes,3.4.2
iterators,3.4.3
janeaustenr,3.4.0
janitor,3.4.3
jpeg,3.4.0
jsonlite,3.4.0
kernlab,3.4.0
KernSmooth,3.4.3
knitr,3.4.3
labeling,3.4.0
later,3.4.2
lattice,3.4.3
lava,3.4.3
lazyeval,3.4.2
lfe,3.4.0
listviewer,3.4.0
lme4,3.4.3
lmtest,3.4.0
lubridate,3.4.2
magrittr,3.4.0
mapproj,3.4.0
maps,3.4.0
markdown,3.4.0
MASS,3.4.3
Matrix,3.4.3
MatrixModels,3.4.0
memoise,3.4.0
methods,3.4.3
mfx,3.4.0
mgcv,3.4.3
mime,3.4.0
miniUI,3.4.0
minqa,3.4.0
mlbench,3.4.1
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
modeltools,3.4.0
mongolite,3.4.2
munsell,3.4.0
mvtnorm,3.4.3
neiss,3.4.1
nlme,3.4.3
nloptr,3.4.0
nnet,3.4.3
numDeriv,3.4.0
nycflights13,3.4.0
odbc,3.4.3
odds.converter,3.4.1
openssl,3.4.2
packrat,3.4.1
padr,3.4.2
parallel,3.4.3
pbkrtest,3.4.0
PerformanceAnalytics,3.4.0
pillar,3.4.3
pinnacle.API,3.4.2
pinnacle.reports,3.4.2
pkgconfig,3.4.0
PKI,3.4.1
plogr,3.4.0
plotly,3.4.1
plyr,3.4.0
png,3.4.0
pool,3.4.2
praise,3.4.0
prodlim,3.4.0
prompt,3.4.1
proto,3.4.0
pryr,3.4.2
psych,3.4.1
purrr,3.4.2
quadprog,3.4.0
Quandl,3.4.0
quantmod,3.4.3
quantreg,3.4.2
R6,3.4.0
RApiDatetime,3.4.0
Rbitcoin,3.4.1
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.2
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
regtools,3.4.0
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.3
repurrrsive,3.4.1
reshape2,3.4.3
restorepoint,3.4.2
RgoogleMaps,3.4.0
rJava,3.4.2
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.3
rmarkdown,3.4.2
robustbase,3.4.2
RODBC,3.4.0
roxygen2,3.4.0
rpart,3.4.3
rprojroot,3.4.2
rsconnect,3.4.1
rstudioapi,3.4.1
rvest,3.4.0
sandwich,3.4.1
scales,3.4.1
selectr,3.4.0
sfsmisc,3.4.0
shiny,3.4.1
shinyAce,3.4.0
shinyBS,3.4.0
shinyEvents,3.4.2
slam,3.4.3
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.3
SparseM,3.4.0
spatial,3.4.3
splines,3.4.3
SQUAREM,3.4.2
stargazer,3.4.2
stats,3.4.3
stats4,3.4.3
stopwords,3.4.3
stringi,3.4.2
stringr,3.4.0
stringtools,3.4.2
styler,3.4.3
survival,3.4.3
tcltk,3.4.3
testthat,3.4.3
texreg,3.4.0
tibble,3.4.3
tibbletime,3.4.3
tidyquant,3.4.1
tidyr,3.4.3
tidyselect,3.4.2
tidytext,3.4.3
tidyverse,3.4.2
timeDate,3.4.2
timeSeries,3.4.2
timetk,3.4.1
tokenizers,3.4.0
ToolBox,3.4.3
tools,3.4.3
tseries,3.4.1
TTR,3.4.3
unvotes,3.4.1
usethis,3.4.3
utf8,3.4.2
utils,3.4.3
uuid,3.4.0
viridisLite,3.4.0
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
xfun,3.4.3
XLConnect,3.4.3
XLConnectJars,3.4.3
XML,3.4.1
xml2,3.4.3
xtable,3.4.0
xts,3.4.3
yaml,3.4.3
zoo,3.4.3
